细胞状态、代谢通路水平,特征基因集链接
ER 压力,"GRP78, XBP1, ATF6, ATF4, CHOP, IRE1, PERK, HERP, EDEM, SDF2L1, PDI, ERO1, GRP94"
慢性炎症,"ADORA2B, AHCY, CAMP, CEBPB, CX3CR1, CYP19A1, GJA1, NFKBIZ, S100A9"
细胞内Na+浓度变化,"SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN8A"
细胞外K+浓度变化,"KCNH2, KCNA5, KCNJ11, KCNMA1, KCNQ1, WNK1, WNK4"
细胞外酸性压力,"ASIC1, ASIC2, ASIC3, ASIC4, ASIC5"
细胞浆芬顿反应水平,"CIAPIN1, CIAO2A, BOLA3, GLRX3, CIAO2B, MMS19, CIAO1, GLRX2, BOLA1, BOLA2, ACO1, HSD17B2, CYP7A1, CRYL1, BST1, XDH, AKR1C4, PTGR2, PYCR2, ADH6, LDHAL6A, DUOX1, HSD17B12, ALDH3A1, AKR1B10, IMPDH1, FDFT1, CYP39A1, ALDH1A3, ALDH1A1, NUDT12, BLVRB, HSD17B8, NQO1, SC5D, CYP7B1, CD38, NADK, AKR1C1, CRYZ, GAPDH, NSDHL, HSD17B7, HPGD, CYP46A1, LDHC, BDH2, GPD1L, ART4, GRHPR, PTGR1, CYP4F2, UGDH, ART5, DUOX2, SLC23A2, MSMO1, FMO3, AKR1B1, AKR1C3, ALDH3B2, ADH7, CYP8B1, CYP4F3, ADH1B, ALDH1A2, FMO4, NOS3, BLVRA, FMO1, GAPDHS, ALDH3B1, NOS2, SDR16C5, HSD17B6, ART3, FMO2, CYP51A1, H6PD, ART1, MDH2, ADH1A, MTRR, ADH1C, FMO5, PHGDH, HSD17B1, SIRT6, HSD3B7, DHPS, IMPDH2, ADH4, SLC23A1, AKR1C2, MTHFR, GPX6, NFE2L2, GPX2, PRDX5, PRDX2, GCLM, NQO1, CAT, NOX4, SOD1, SOD3, GPX4, NCF2, GPX5, PRDX6, TXNRD1, GPX7, PRDX4, HMOX2, GSS, NOX5, TXN, GPX3, TXN2, GPX1, NOXO1, HMOX1, NOXA1, TXNL1, NCF4, NOX1, PRDX3, GPX8, SOD2, PRDX1"
 产生的速度,"ACOX1, CTNS, CYP1A1, CYP1A2, CYBA, CYBB, CYCS, DUOXA1, DUOXA2, DUOX1, DUOX2, FYN, MFN2, MPV17L, MT-CO2, NCF1, NOX4, SOD1, SOD2, STAT3, ZFP13"
缺氧程度,"CA9, EPO, EPAS1, HIF1A, HYOU1, SLC2A1, VEGFA"
细胞内碱性压力,"CFTR, CLN3, NOX1, OCA2, SLC26A3, SLC26A6, SLC45A2, TMEM175"
Na+/K+ 交换器水平,"SLC24A1, SLC24A2, SLC8A1, SLC9A1"
产生的速度,"AGT, AGTR1A, APP, CD177, CRP, CXCL1, CYBA, F2RL1, FPR2, GNAI2, GNAI3, GSTP1, HVCN1, IL18, ITGAM, ITGB2, MAPT, PRKCD, SOD1, SYK, TGFB1, TYROBP"
氧化压力,"ABCD1, ABL1, ADPRS, AGAP3, AIF1, AIFM2, AKT1, ALOX5"
细胞膜电势,"SCN1A, SCN2A, SCN3A, KCNQ1, KCNH2, KCNJ2, CACNA1C, CACNB2, CACNG2, ATP1A1, ATP1B1, ATP2A1, ATP2B2, KCNE1, KCNE2,  GJA1, GJB2, GABRA1, GRIA1"
免疫耐受：免疫静止,
免疫耐受：免疫忽视,
免疫耐受：免疫无应变,
免疫耐受：免疫耗竭,
免疫耐受：免疫衰老,
T细胞凋亡,"ADA, FAS, FASLG, BAX, BCL2L11, BCL2, CASP8, PDCD1, PTPN13, TP53, AKT1, JAK3, RIPK1, RIPK3, TNFRSF4, TNFSF4, LGALS3, IDO1, IL2RA, IL7R, ZC3H8, SLC46A2"
T细胞激活,"ABL1, ABL2, ADA, ADAM17, AGER, ATF2, B2M, CD28, CD40LG, CD80, CD86, CD274, CSK, CTLA4, CXCR4, ICAM1, ICOS, ICOSLG, IFNG, IL2, IL2RA"
T细胞分化,"FOXP3, IL2RA, CTLA4, IL2, CD4, CD8A, CD28, CD3D, CD3E, CD3G, ZAP70, LCK, LAT, TCR, TCF7, NOTCH1, STAT3, STAT4, STAT5A, STAT5B"
T细胞增殖,"MKI67, PCNA, TOP2A, CCND1, CDK1, CCNB1, CDK2, CDKN1A, CDKN1B"
与T细胞功能相关的信号分子#1 TCR Signaling Pathway,"CD4, CD8A, CD8B, CD74, HLA-A, HLA-B, HLA-C, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DRA, HLA-DRB1, ICAM1, KIR2DL1"
与T细胞功能相关的信号分子#2 PI3K-Akt-mTOR Pathway,"AKT1, PIK3R3, PTEN, GSK3B, HRAS, EGFR, GRB2, MAP3K7, MAPK1, MAPK8, MAPK9, PIK3R3, PIKFYVE, RAC1, RAF1, RPTOR, PRKCB, PRKAA2, PRKAR2A, CDK1, CDK2, CDK4, CDKN1A, CDKN1B, TBK1, THEM4, TSC2, UBE2D3, UBE2N"
与T细胞功能相关的信号分子#3 NF-κB Signaling Pathway,"IL1A, TNF, IL1R1, TNFRSF1A, TNFRSF1B, IKBKG, RELA, NFKB1, MYD88, IKBKB, TNFAIP3, CHUK, MAP3K7, TRADD, RIPK1, FADD, MAP3K14, TRAF6, MAP3K1, TAB1"
与T细胞功能相关的信号分子#4 MAPK Signaling Pathways,"AKT1, EGFR, HRAS, MAPK1, MAPK8, MAPK9, MAPK10, MAPK13, MAP2K1, MAP2K2, MAP2K3, MAP2K5, MAP2K6, MAP2K7, RAF1, RAC1, SOS1, SOS2, TP53, TRAF2, TRAF6, IL1R1, FAS, JUN, MYC, NF1, NFKB1, NFKB2"
与T细胞功能相关的信号分子#5 NFAT Signaling Pathway,"PIK3R1, PIK3CA, NFATC1, CALM1, CSNK1A1, AGT, IGF1, PPP3CA, AKT1, MAPK3, CREBBP, ACTA1, MYH2, HRAS, MEF2C, NFATC2, NFATC4, PPP3CB, GSK3B, PRKAR1B"
与T细胞功能相关的信号分子#6 Notch Signaling Pathway,"NOTCH1, NOTCH2, NOTCH3, NOTCH4, JAG1, JAG2, DLL1, DLL3, DLL4, RBPJ, MAML1, MAML2, MAML3, HES1, HES5, LFNG, MFNG, NUMB, EP300, HDAC1, HDAC2, ADAM17, PSEN1, PSEN2, NCSTN, RFNG, CIR1, KAT2A, KAT2B, KAT2B, NCOR2"
与T细胞功能相关的信号分子#7 Wnt Signaling Pathway,"CTNNB1, DVL1, DVL2, DVL3, APC, LRP6, LRP5, AXIN1, AXIN2, WNT1, WNT2, WNT3, WNT5A, WNT10B, FZD1, FZD4, FZD7, TCF7, TCF7L2"
与T细胞功能相关的信号分子#8 TGF-β Signaling Pathway,"TGFB1, TGFB2, TGFB3, TGFBR1, TGFBR2, SMAD2, SMAD3, SMAD4, SMAD7, BMP2, BMP4, BMP6, BMP7, BMPR1A, BMPR1B, BMPR2, SP1, MYC, EP300, CREBBP, ID1"
T细胞功能#1 Chemokine,"CCL2, CCL5, CCL19, CCL21, CCL25, CXCL8, CXCL12, CXCL13, CXCL10, CXCL11, CXCL9, CX3CL1, CXCL1, CXCL2, CXCL3, CXCL5, CXCL6, CCL3, CCL4, CCL7"
T细胞功能#2 Chemokine Receptors,"C5AR1, ACKR2, CCR1, CCR3, CCR5, CCR6, CCR7, CCR9, CX3CR1, CXCR3, CXCR4, CXCR5, CXCR6, ACKR3, CYSLTR1, CYSLTR2, ACKR1, EDNRA, EDNRB, FPR1, FPR2, GPR17, PTGDR2, C5AR2, CXCR1, CXCR2, LTB4R, LTB4R2, PLAUR, PTAFR, ROBO1, ROBO2, ROBO3, XCR1"
T细胞功能#3 Cytokines,"IL10, IL12A, IL12B, IL13, IL15, IL16, IL17A, IFNG, TNF, VEGFA, VEGFB, VEGFC, NGF, NPY, PDGFA, PDGFB, PDGFC, PDGFD, SEMA3A, SEMA3B"
T细胞功能#4 Cytokine Receptors,"IFNAR1, IFNAR2, IFNGR1, IFNGR2, IGF1R, IGF2R, IL10RA, IL10RB, IL12RB1, IL12RB2, IL13RA1, IL15RA, IL2RB, IL17RA, IL23R, IFNLR1, IL2RA, LEPR, TGFBR1, TGFBR2, TNFRSF10A"
T细胞功能#5 Interferons,"IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA2, IFNA21, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNB1, IFNE, IFNG, IFNK, IFNW1"
T细胞功能#6 Interferon Receptor,"IFNAR2, IFNGR1, IFNGR2"
T细胞功能#7 Interleukins,"IL11, IL12A, IL12B, IL13, IL15, IL16, IL17A, IL17B, IL17C, IL17D, IL17F, IL18, IL19, IL1A, IL1B, IL1F10, IL36RN, IL36A, IL37, IL36B, IL36G, IL1RN, IL2, IL20, IL21, IL22, IL23A, IL24, IL25, IL26, IL27, IFNL2, IFNL3, IFNL1, IL3, IL31, IL32, IL33, IL34, IL4, IL5, IL6, IL6ST, IL7, CXCL8, IL9, TXLNA"
T细胞功能#8 ,"IL10RA, IL10RB, IL11RA, IL12RB1, IL12RB2, IL13RA1, IL13RA2, IL15RA, IL2RB, IL17RA, IL17RB, IL17RC, IL17RD, IL17RE, IL18R1, IL18RAP, IL1R1, IL1R2, IL1RAP, IL1RL1, IL1RL2, IL20RA, IL20RB, IL21R, IL22RA1, IL22RA2, IL23R, IL27RA, IFNLR1, IL2RA, IL2RB, IL2RG, IL31RA, IL3RA, IL4R, IL5RA, IL6R, IL7R, CXCR1, CXCR2, IL9R, ST2"
Interleukins Receptor,
